price,latitude,longitude,accommodates,bathrooms,bedrooms,beds,review_scores_value,license,instant_bookable,distance_min,amenity_parking,amenity_luxurious,amenity_workspace,amenity_dryer,amenity_washer,amenity_outdoor,amenity_security,amenity_balcony_view,amenity_entertainment,amenity_family,amenity_fitness,amenity_pet_friendly,amenity_accessibility,amenities_count,is_entire_home
214.0,40.69194,-73.97389,2,1.0,1.0,2.0,4.82,True,True,2.50090918469981,True,True,True,True,True,True,True,True,False,False,False,False,False,49,False
170.0,40.684555843449075,-73.93963415175676,5,1.0,1.0,4.0,4.76,False,False,5.3991843043447565,True,False,False,True,False,True,True,True,True,True,False,False,False,52,True
125.0,40.79934,-73.94236,2,1.0,1.0,1.0,4.81,False,False,2.700250176357974,True,False,False,True,False,False,True,False,False,False,False,False,False,21,False
145.0,40.71065,-73.95087,1,1.0,1.0,1.0,4.85,True,False,3.9224408239166078,True,True,True,True,True,False,True,False,False,False,False,False,False,24,False
99.0,40.772472,-73.906075,3,1.0,1.0,2.0,4.82,False,False,4.8834452232581675,False,False,False,True,False,True,True,True,True,False,False,False,False,42,True
292.0,40.69003,-73.99338,2,1.0,1.0,1.0,4.58,False,False,1.8091711895280962,True,True,True,True,True,False,True,False,False,False,True,True,False,46,False
90.0,40.68294,-73.95682,2,1.0,1.0,2.0,4.67,False,False,4.253323235934514,True,True,True,True,True,False,True,False,False,False,False,False,False,41,False
153.0,40.67946,-73.95417,2,1.0,1.0,1.0,4.42,False,False,4.668649976228114,True,False,False,True,False,False,True,False,False,False,False,False,False,21,True
162.0,40.73535,-73.95584,2,1.0,1.0,2.0,4.79,False,False,2.9123634475269733,True,True,True,True,True,False,False,False,False,True,False,False,False,49,True
116.0,40.80747,-73.94076,2,1.0,1.0,1.0,4.8,False,False,3.401792243356349,True,False,False,True,False,False,True,False,False,False,False,False,False,25,True
282.0,40.70271,-73.8993,9,1.0,3.0,6.0,4.75,False,False,8.256756085446519,True,False,False,True,True,False,False,False,False,False,False,False,False,25,True
125.0,40.792667388916016,-73.946533203125,2,1.0,1.0,1.0,4.8,False,False,2.0195241710842073,True,True,True,True,False,False,True,True,False,False,False,False,False,37,True
180.0,40.721359,-73.993668,3,1.0,1.0,2.0,4.4,False,False,1.716353529002818,True,True,True,True,True,True,True,True,False,False,True,False,True,66,True
57.0,40.69121,-73.96804,1,1.0,1.0,1.0,4.6,False,False,2.946797545918787,True,True,True,True,False,True,True,True,False,False,False,False,False,30,False
138.0,40.72372723229208,-73.97625850509617,1,1.0,1.0,1.0,4.71,True,False,2.6217793536361316,True,True,True,True,True,False,True,True,False,False,True,False,True,39,False
300.0,40.8019,-73.93762,8,2.0,4.0,6.0,4.77,False,False,3.190970670046278,False,True,True,True,True,False,False,False,False,True,False,True,True,28,True
215.0,40.72289,-73.98028,1,1.0,1.0,1.0,4.56,False,False,2.3342128206781383,True,False,False,True,True,False,False,False,False,False,False,False,False,25,True
60.0,40.81006,-73.94559,2,1.5,1.0,2.0,4.66,False,False,3.3699777154566544,True,True,True,True,False,True,True,True,True,True,False,False,False,58,False
150.0,40.72598,-73.97978,6,1.0,1.0,2.0,4.42,False,True,2.5805059349687487,True,True,True,True,False,False,True,False,False,False,False,True,False,42,True
125.0,40.881,-73.83511,2,1.0,1.0,1.0,4.7,False,False,15.479575315608283,True,True,True,True,False,True,True,True,False,False,False,False,False,41,False
200.0,40.73917,-74.00207,4,1.0,1.0,3.0,4.64,False,False,1.4557578794214419,False,True,True,True,True,False,False,False,False,False,False,True,False,26,True
94.0,40.67634,-73.95143,2,1.0,1.0,1.0,4.8,False,True,5.068878342889044,False,True,True,False,False,False,False,False,False,False,False,False,False,6,False
57.0,40.67579,-73.95072,2,1.0,1.0,1.0,4.78,False,False,5.154220622603747,False,True,True,False,False,False,True,False,False,False,False,False,False,11,False
349.0,40.72547,-73.98619,2,1.0,0.0,1.0,4.8,False,False,2.333616200790027,True,True,True,True,True,True,True,True,False,False,False,False,False,48,True
209.0,40.68088,-73.99102,2,1.0,1.0,1.0,4.87,False,False,2.844387174105035,True,False,False,True,True,True,True,True,False,True,False,False,False,51,True
157.0,40.71516,-73.96448,4,1.0,1.0,2.0,4.82,False,False,2.918459521875034,True,True,True,True,False,False,True,False,False,False,False,False,False,38,True
190.0,40.78846,-73.97459,2,1.0,1.0,1.0,4.76,False,False,0.6505262688529652,False,True,True,True,True,True,False,True,False,False,False,False,True,36,True
90.0,40.6686,-73.98723,2,1.0,1.0,3.0,4.91,False,False,4.243763469366598,True,True,True,True,False,False,True,False,False,True,False,False,False,33,True
90.0,40.68288,-73.95646,2,1.0,1.0,1.0,4.54,False,False,4.281608488899085,True,True,True,True,True,False,True,False,False,False,False,False,False,44,False
291.0,40.74744,-74.00277,2,1.0,1.0,1.0,5.0,False,False,0.6429396973515606,False,True,True,True,True,False,False,False,True,False,False,False,False,38,True
120.0,40.71624,-73.994,2,1.0,0.0,1.0,4.79,False,False,1.1523867269361734,True,False,False,True,False,False,False,True,False,True,False,True,True,48,True
151.0,40.68292,-73.96381,2,1.0,1.0,1.0,4.92,True,True,3.8010933521534325,True,True,True,True,True,False,True,False,True,False,False,False,True,54,False
250.0,40.7672,-73.98464,2,1.0,1.0,1.0,4.82,False,False,1.0242311184631414,True,False,False,True,False,False,False,False,False,False,False,False,False,25,True
120.0,40.68818,-73.96383,2,1.0,1.0,1.0,4.59,True,True,3.43108069481772,True,False,False,True,False,False,True,True,False,False,False,False,False,32,False
195.0,40.71512,-73.95899,2,1.0,1.0,1.0,4.9,False,False,3.356421151436009,True,True,True,True,False,False,False,False,False,False,False,False,False,24,True
